,States
0,alabama
1,alaska
2,arizona
3,arkansas
4,california
5,colorado
6,connecticut
7,delaware
8,florida
9,georgia
10,hawaii
11,idaho
12,illinois
13,indiana
14,iowa
15,kansas
16,kentucky
17,louisiana
18,maine
19,maryland
20,massachusetts
21,michigan
22,minnesota
23,mississippi
24,missouri
25,montana
26,nebraska
27,nevada
28,new hampshire
29,new jersey
30,new mexico
31,north carolina
32,north dakota
33,ohio
34,oklahoma
35,oregon
36,pennsylvania
37,rhode island
38,south carolina
39,south dakota
40,tennessee
41,texas
42,utah
43,vermont
44,virginia
45,washington
46,west virginia
47,wisconsin
48,wyoming
